EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
10129976,WILLIAMSON CO., ,2/10/1981,106,Hail,2, ,0,0,10000,0,TX,CST, , ,C,491,ATA,0,0, ,0,0,0, ,0, , ,30.63,-97.67, , ,1
10129977,WILLIAMSON CO., ,2/10/1981,110,Thunderstorm Wind,60, ,0,0,0,0,TX,CST, , ,C,491,ATA,0,0, ,0,0,0, ,0, , ,30.63,-97.67, , ,2
10129978,WILLIAMSON CO., ,2/10/1981,113,Tornado,0,F2,0,0,250000,0,TX,CST, , ,C,491, ,0,0, ,0.8,100,0, ,0, , ,30.67,-97.67, , ,3
10129996,WILLIAMSON CO., ,2/10/1981,315,Hail,2, ,0,0,0,0,TX,CST, , ,C,491,ATA,0,0, ,0,0,0, ,0, , ,30.75,-95.57, , ,4
10129997,WILLIAMSON CO., ,2/10/1981,315,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,491,ATA,0,0, ,0,0,0, ,0, , ,30.75,-95.57, , ,5
10131075,KENDALL CO., ,3/3/1981,2000,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,259,T,0,0, ,0,0,0, ,0, , ,29.97,-98.4, , ,6
10131098,VAL VERDE CO., ,3/28/1981,2015,Hail,0.75, ,0,0,1000,0,TX,CST, , ,C,465,ATA,0,0, ,0,0,0, ,0, , ,29.37,-100.78, , ,7
10131099,KINNEY CO., ,3/28/1981,2030,Hail,0.75, ,0,0,500,0,TX,CST, , ,C,271,NG,0,0, ,0,0,0, ,0, , ,29.37,-100.7, , ,8
10131100,EDWARDS CO., ,3/28/1981,2040,Hail,0.75, ,0,0,500,0,TX,CST, , ,C,137,ATA,0,0, ,0,0,0, ,0, , ,29.93,-100.23, , ,9
10131101,BANDERA CO., ,3/28/1981,2115,Hail,0.75, ,0,0,50000,0,TX,CST, , ,C,19,ATA,0,0, ,0,0,0, ,0, , ,29.75,-99.38, , ,10
10131102,REAL CO., ,3/28/1981,2115,Hail,0.75, ,0,0,1000,0,TX,CST, , ,C,385,ATA,0,0, ,0,0,0, ,0, , ,29.73,-99.75, , ,11
10131103,KERR CO., ,3/28/1981,2140,Hail,2.75, ,0,0,100000,0,TX,CST, , ,C,265,NG,0,0, ,0,0,0, ,0, , ,30.05,-99.13, , ,12
10131104,UVALDE CO., ,3/28/1981,2200,Hail,0.75, ,0,0,1000,0,TX,CST, , ,C,463,ATA,0,0, ,0,0,0, ,0, , ,29.5,-99.75, , ,13
10131105,KENDALL CO., ,3/28/1981,2215,Hail,0.75, ,0,0,50000,0,TX,CST, , ,C,259,ATA,0,0, ,0,0,0, ,0, , ,29.97,-98.92, , ,14
10131106,MEDINA CO., ,3/28/1981,2245,Hail,0.75, ,0,0,0,0,TX,CST, , ,C,325,ATA,0,0, ,0,0,0, ,0, , ,29.5,-99.17, , ,15
10131119,BURNET CO., ,4/3/1981,2210,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,53,ATA,0,0, ,0,0,0, ,0, , ,30.78,-98.17, , ,16
10131120,GILLESPIE CO., ,4/3/1981,2220,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,171,ATA,0,0, ,0,0,0, ,0, , ,30.32,-98.93, , ,17
10131121,BLANCO CO., ,4/3/1981,2230,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,31,ATA,0,0, ,0,0,0, ,0, , ,30.27,-98.38, , ,18
10128052,MAVERICK CO., ,4/22/1981,2045,Hail,1, ,0,0,100000,100000,TX,CST, , ,C,323,ATA,0,0, ,0,0,0, ,0, , ,28.7,-100.38, , ,19
10128053,MAVERICK CO., ,4/22/1981,2045,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,323,ATA,0,0, ,0,0,0, ,0, , ,28.7,-100.38, , ,20
10128054,UVALDE CO., ,4/22/1981,2150,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,463,ATA,0,0, ,0,0,0, ,0, , ,29.22,-99.8, , ,21
10128055,UVALDE CO., ,4/22/1981,2210,Hail,1.5, ,0,0,3000000,2000000,TX,CST, , ,C,463,ATA,0,0, ,0,0,0, ,0, , ,29.22,-99.8, , ,22
10128056,BANDERA CO., ,4/22/1981,2345,Hail,1.75, ,0,0,10000,0,TX,CST, , ,C,19,NG,0,0, ,0,0,0, ,0, , ,29.72,-99.07, , ,23
10128057,VAL VERDE CO., ,4/23/1981,115,Hail,1, ,0,0,0,0,TX,CST, , ,C,465,ATA,0,0, ,0,0,0, ,0, , ,29.78,-101.2, , ,24
10128060,VAL VERDE CO., ,4/23/1981,115,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,465,ATA,0,0, ,0,0,0, ,0, , ,29.78,-101.2, , ,25
10128059,KINNEY CO., ,4/23/1981,115,Thunderstorm Wind,0, ,0,0,0,0,TX,CST, , ,C,271,ATA,0,0, ,0,0,0, ,0, , ,29.38,-100.42, , ,26
